,City,Time,Country,Temperature,Latitude,Humidity,Cloud Cover,Wind Speed
1,Chiang Klang,1511041658,TH,69.09,19.29,91,88,2.13
2,Rjukan,1511041659,NO,27.24,59.88,100,24,7.94
3,Port Elizabeth,1511041660,ZA,64.32,-33.92,100,0,8.05
4,Xifeng,1511041660,CN,-6.52,42.74,58,0,2.57
5,Phan Thiet,1511041661,VN,74.89,10.93,100,92,12.19
6,Christchurch,1511040600,NZ,60.8,-43.53,63,0,5.82
7,Trencin,1511040600,SK,39.2,48.89,93,24,2.24
8,Aparecida do Taboado,1511041662,BR,80.34,-20.09,75,36,8.95
9,Novosibirsk,1511038800,RU,32.0,55.04,96,90,11.18
10,Balikpapan,1511038800,ID,78.8,-1.27,100,40,4.7
11,Wabana,1511038800,CA,39.2,47.63,100,75,9.17
12,Lodwar,1511041665,KE,75.84,3.12,49,0,6.93
13,Keroka,1511041666,KE,61.98,-0.78,91,88,4.59
14,Las Cruces,1511039700,US,66.2,32.31,13,1,10.29
15,Oskarshamn,1511040000,SE,33.8,57.26,100,0,5.82
16,Castries,1511038800,LC,84.2,14.0,79,20,3.36
17,Pachino,1511038200,IT,53.6,36.72,93,20,3.36
18,Meulaboh,1511041670,ID,76.83,4.14,100,64,2.24
19,Nantucket,1511039700,US,53.6,41.28,81,20,10.29
20,Khanu Woralaksaburi,1511041671,TH,76.11,16.06,85,44,5.59
21,Toba,1511038800,JP,50.0,34.48,61,75,19.46
22,Avarua,1511038800,CK,80.6,-21.21,78,40,12.75
23,Auki,1511041672,SB,79.89,-8.77,100,64,3.69
24,Sayyan,1511041673,YE,30.25,15.17,56,0,3.24
25,Muros,1511040600,ES,50.0,42.78,81,0,5.82
26,Chapais,1511038800,CA,17.6,49.78,85,90,10.29
27,Roura,1511038800,GF,82.4,4.73,78,0,6.93
28,Buckeye,1511040900,US,77.0,33.37,100,1,8.05
29,General Roca,1511038800,AR,75.2,-39.03,31,0,19.46
30,Usinsk,1511041676,RU,24.54,65.99,90,88,11.63
31,Lorengau,1511038800,PG,78.8,-2.02,94,75,4.25
32,Huanren,1511041677,CN,3.66,41.26,79,0,3.69
33,Tocopilla,1511041678,CL,63.55,-22.09,81,0,5.82
34,Yulara,1511038800,AU,73.4,-25.24,69,40,9.17
35,Koumac,1511041679,NC,74.31,-20.57,76,100,4.25
36,San Carlos de Bariloche,1511038800,AR,50.0,-41.15,66,40,28.86
37,Leshukonskoye,1511041680,RU,33.09,64.9,83,92,7.72
38,Kamalpur,1511041681,IN,68.86,24.2,95,0,2.35
39,Miraflores,1511041660,CO,92.35,1.34,51,12,3.13
40,Amboise,1511040600,FR,41.0,47.41,100,90,5.82
41,Miandrivazo,1511041683,MG,67.38,-19.52,95,12,2.68
42,Constantine,1511038800,DZ,46.4,36.37,87,20,4.7
43,Nagpur,1511040600,IN,69.8,21.15,88,0,4.14
44,Georgetown,1511038800,GY,86.0,6.8,66,20,11.41
45,Espoo,1511040000,FI,41.0,60.21,93,75,13.87
46,Westport,1511039940,US,55.4,41.14,87,75,3.36
47,Hailar,1511041686,CN,-25.06,49.2,35,0,3.36
48,Palana,1511041687,RU,31.47,59.12,96,80,16.22
49,Plouzane,1511040600,FR,50.0,48.38,100,90,10.96
50,Alugan,1511041689,PH,79.39,12.22,100,100,7.27
51,Llaillay,1511041690,CL,66.25,-32.85,61,0,2.13
52,Guerrero Negro,1511041691,MX,80.52,27.98,54,32,2.91
53,San Vicente,1511041691,AR,70.08,-26.62,79,76,7.61
54,Lata,1511038800,PT,50.0,40.16,93,20,2.24
55,Merritt Island,1511038680,US,78.8,28.54,50,1,8.05
56,San Cristobal,1511038800,VE,77.0,7.77,94,40,4.7
57,North Bend,1511038560,US,51.8,43.41,66,1,6.93
58,Buala,1511041696,SB,83.31,-8.14,90,76,4.25
59,Teriberka,1511041697,RU,21.93,69.16,100,80,3.02
60,Mogadishu,1511041445,SO,81.91,2.04,100,0,17.34
61,Gizo,1511041697,SB,84.66,-8.1,100,20,3.69
62,Mersing,1511041698,MY,76.38,2.43,100,12,3.13
63,Hanmer Springs,1511041698,NZ,59.59,-42.52,40,0,3.13
64,Cimaja,1511041699,ID,79.93,-6.95,100,80,14.99
65,Paso de Carrasco,1511038800,UY,64.4,-34.86,36,40,16.11
66,Adrar,1511038800,DZ,57.2,27.87,33,0,11.41
67,Lahad Datu,1511041701,MY,74.53,5.03,100,8,2.68
